MDR_REPORT_KEY|DATE_OF_EVENT|EVENT_TYPE|DEVICE_REPORT_PRODUCT_CODE
10000508|11/28/2019|M|NIQ
10000690|04/01/2020|M|NIQ
10000748|12/12/2017|IN|NIQ
10000850|02/02/2020|M|NIQ
10000969|04/03/2020|M|NIQ
10001405|09/22/2017|IN|NIQ
10001534|03/04/2020|IN|NIQ
10001775|12/01/2013|IN|NIQ
10001863|12/04/2013|IN|NIQ
10002061|03/31/2020|IN|MAF
10002065|12/02/2013|IN|NIQ
10003018|12/01/2013|IN|NIQ
10004044|04/24/2020|IN|NIQ
10004931|12/18/2019|M|NIQ
10005183|03/06/2020|M|MAF
10005226|02/07/2020|M|NIQ
10005231|12/01/2013|IN|NIQ
10005254|12/01/2013|M|NIQ
10005730|12/01/2013|IN|PNY
10005761|04/22/2020|M|NIQ
10005822|12/01/2013|M|PNY
10006146|01/20/2020|M|NIQ
10006352|12/24/2019|M|NIQ
10007067|01/25/2020|M|NIQ
10007126|04/09/2020|IN|MAF
10007137|04/16/2020|M|NIQ
10007627|01/30/2020|M|NIQ
10007633|04/21/2020|M|NIQ
10007649|04/23/2020|M|NIQ
10007657|04/16/2020|M|NIQ
10007706|04/09/2020|M|NIQ
10007825|04/14/2020|M|NIQ
10007869|02/28/2020|IN|NIQ
10008442|01/31/2020|IN|NIQ
10008445|01/31/2020|IN|NIQ
10008685|03/05/2019|M|NIQ
10008742|04/09/2020|M|NIQ
10009235|04/26/2015|IN|NIQ
10009396|04/06/2017|IN|NIQ
10009676|04/22/2020|IN|MAF
10009808|04/06/2020|M|NIQ
10009813|04/22/2020|M|NIQ
10009817|10/03/2019|M|NIQ
10009820|03/02/2020|M|NIQ
10009825|04/23/2020|M|NIQ
10009845|04/01/2020|M|NIQ
10009848|04/06/2020|M|NIQ
10010649|03/17/2020|IN|NIQ
10010755|04/01/2020|IN|NIQ
10010981|03/26/2020|IN|NIQ
10011321|04/20/2020|M|NIQ
10011783|04/09/2020|M|NIQ
10011883|04/23/2020|M|NIQ
10012097|04/17/2020|M|NIQ
10012155|04/17/2020|M|NIQ
10012291|04/24/2020|M|MAF
10012358|04/03/2020|M|NIQ
10012640|04/02/2020|M|NIQ
10012810|04/09/2020|M|NIQ
10012998|04/24/2020|M|NIQ
10013017|12/03/2019|IN|NIQ
10013032|12/03/2019|IN|NIQ
10013081|03/24/2020|IN|NIQ
10013228|09/09/2019|IN|NIQ
10013479|12/01/2016|IN|PNY
10013588|04/01/2020|M|MAF
10014275|04/08/2020|IN|NIQ
10014302|04/13/2020|M|NIQ
10014415|02/27/2020|M|NIQ
10014773|04/06/2020|M|MAF
10014859|02/20/2020|M|NIQ
10015169|01/16/2020|M|NIQ
10015208|04/22/2020|M|NIQ
10015212|04/27/2020|M|NIQ
10015366|04/08/2020|IN|NIQ
10015488|04/17/2020|M|NIQ
