YEAR/MONTH|DEVICE_REPORT_PRODUCT_CODE|EVENT_TYPE
1945/03|NIQ|IN|1
1960/09|NIQ|IN|1
1980/01|NIQ|D|1
1980/03|MAF|M|1
1980/07|NIQ|M|1
1980/08|NIQ|IN|1
1995/09|MAF|IN|3
1996/03|MAF|IN|1
1996/05|MAF|IN|2
1996/07|MAF|IN|1
1996/10|MAF|IN|1
1997/01|MAF|IN|2
1997/02|MAF|IN|1
1997/03|MAF|IN|1
1997/04|MAF|M|1
1997/05|MAF|IN|5
1997/06|MAF|IN|2
1997/06|NIQ|IN|2
1997/06|NIQ|O|2
1997/07|MAF|IN|4
1997/07|MAF|M|2
1997/08|MAF|IN|13
1997/09|MAF|D|1
1997/09|MAF|IN|12
1997/09|MAF|M|3
1997/10|MAF|IN|17
1997/10|MAF|M|2
1997/10|MAF|O|1
1997/11|MAF|IN|13
1997/11|MAF|M|4
1997/12|MAF|D|1
1997/12|MAF|IN|34
1997/12|MAF|M|10
1998/01|MAF|D|10
1998/01|MAF|IN|67
1998/01|MAF|M|23
1998/01|MAF|O|2
1998/02|MAF|D|7
1998/02|MAF|IN|65
1998/02|MAF|M|36
1998/03|MAF|D|2
1998/03|MAF|IN|77
1998/03|MAF|M|32
1998/04|MAF|*|3
1998/04|MAF|D|9
1998/04|MAF|IN|52
1998/04|MAF|M|26
1998/05|MAF|D|4
1998/05|MAF|IN|41
1998/05|MAF|M|23
1998/06|MAF|*|2
1998/06|MAF|IN|62
1998/06|MAF|M|24
1998/06|MAF|O|1
1998/07|MAF|*|1
1998/07|MAF|D|4
1998/07|MAF|IN|43
1998/07|MAF|M|22
1998/07|MAF|O|1
1998/08|MAF|*|2
1998/08|MAF|D|5
1998/08|MAF|IN|37
1998/08|MAF|M|25
1998/08|MAF|O|1
1998/09|MAF|D|3
1998/09|MAF|IN|60
1998/09|MAF|M|26
1998/09|MAF|O|1
1998/10|MAF|*|1
1998/10|MAF|D|1
1998/10|MAF|IN|39
1998/10|MAF|M|18
1998/10|MAF|O|4
1998/11|MAF|D|1
1998/11|MAF|IN|35
1998/11|MAF|M|11
1998/11|MAF|O|4
1998/12|MAF|D|3
1998/12|MAF|IN|37
1998/12|MAF|M|11
1998/12|MAF|O|3
1999/01|MAF|D|3
1999/01|MAF|IN|37
1999/01|MAF|M|6
1999/02|MAF|D|9
1999/02|MAF|IN|32
1999/02|MAF|M|7
1999/02|MAF|O|1
1999/03|MAF|D|6
1999/03|MAF|IN|42
1999/03|MAF|M|20
1999/04|MAF|D|3
1999/04|MAF|IN|31
1999/04|MAF|M|10
1999/05|MAF|D|1
1999/05|MAF|IN|36
1999/05|MAF|M|20
1999/06|MAF|IN|39
1999/06|MAF|M|18
1999/07|MAF|*|1
1999/07|MAF|D|4
1999/07|MAF|IN|35
1999/07|MAF|M|18
1999/07|MAF|O|1
1999/08|MAF|IN|37
1999/08|MAF|M|12
1999/09|MAF|D|2
1999/09|MAF|IN|35
1999/09|MAF|M|21
1999/09|MAF|O|2
1999/10|MAF|D|5
1999/10|MAF|IN|28
1999/10|MAF|M|17
1999/10|MAF|O|3
1999/11|MAF|D|1
1999/11|MAF|IN|30
1999/11|MAF|M|11
1999/11|MAF|O|1
1999/12|MAF|D|7
1999/12|MAF|IN|27
1999/12|MAF|M|8
2000/01|MAF|D|6
2000/01|MAF|IN|35
2000/01|MAF|M|7
2000/01|NIQ|M|1
2000/02|MAF|D|3
2000/02|MAF|IN|35
2000/02|MAF|M|14
2000/02|NIQ|IN|1
2000/03|MAF|D|3
2000/03|MAF|IN|21
2000/03|MAF|M|5
2000/03|NIQ|*|1
2000/03|NIQ|IN|1
2000/04|MAF|D|1
2000/04|MAF|IN|26
2000/04|MAF|M|22
2000/05|MAF|D|1
2000/05|MAF|IN|25
2000/05|MAF|M|23
2000/05|NIQ|M|1
2000/06|MAF|D|2
2000/06|MAF|IN|32
2000/06|MAF|M|21
2000/07|MAF|*|1
2000/07|MAF|D|4
2000/07|MAF|IN|23
2000/07|MAF|M|34
2000/07|MAF|O|1
2000/07|NIQ|*|1
2000/07|NIQ|M|1
2000/08|MAF|D|1
2000/08|MAF|IN|19
2000/08|MAF|M|18
2000/09|MAF|D|1
2000/09|MAF|IN|26
2000/09|MAF|M|15
2000/10|MAF|D|4
2000/10|MAF|IN|22
2000/10|MAF|M|9
2000/10|NIQ|IN|1
2000/11|MAF|D|5
2000/11|MAF|IN|26
2000/11|MAF|M|17
2000/11|NIQ|M|1
2000/12|MAF|D|3
2000/12|MAF|IN|29
2000/12|MAF|M|16
2000/12|MAF|O|1
2001/01|MAF|D|5
2001/01|MAF|IN|37
2001/01|MAF|M|19
2001/01|NIQ|IN|1
2001/02|MAF|D|2
2001/02|MAF|IN|36
2001/02|MAF|M|25
2001/02|MAF|O|1
2001/03|MAF|D|3
2001/03|MAF|IN|38
2001/03|MAF|M|17
2001/04|MAF|D|1
2001/04|MAF|IN|36
2001/04|MAF|M|17
2001/04|MAF|O|1
2001/05|MAF|D|2
2001/05|MAF|IN|51
2001/05|MAF|M|16
2001/05|MAF|O|1
2001/05|NIQ|D|1
2001/06|MAF|IN|56
2001/06|MAF|M|15
2001/07|MAF|D|6
2001/07|MAF|IN|37
2001/07|MAF|M|12
2001/07|MAF|O|1
2001/08|MAF|IN|46
2001/08|MAF|M|16
2001/08|MAF|O|2
2001/08|NIQ|IN|1
2001/09|MAF|D|2
2001/09|MAF|IN|20
2001/09|MAF|M|6
2001/09|MAF|O|1
2001/10|MAF|D|2
2001/10|MAF|IN|28
2001/10|MAF|M|13
2001/10|MAF|O|1
2001/11|MAF|D|3
2001/11|MAF|IN|25
2001/11|MAF|M|14
2001/11|MAF|O|1
2001/11|NIQ|IN|3
2001/11|NIQ|M|1
2001/12|MAF|D|1
2001/12|MAF|IN|20
2001/12|MAF|M|9
2001/12|MAF|O|1
2002/01|MAF|D|6
2002/01|MAF|IN|27
2002/01|MAF|M|13
2002/01|MAF|O|1
